strategy,seed,generations,time_to_resistance,mean_population,mean_survival,final_population,extinct,peak_target_site,kdr,rdl,cyp6,est,gst
single:deltamethrin,1000,40,12,400.0,0.7591249999999999,400,0,1.0,1.0,0.0,0.005,0.095,0.125
single:deltamethrin,1001,40,12,400.0,0.7593125,400,0,1.0,1.0,0.05,0.0825,0.0,0.1113
single:deltamethrin,1002,40,12,400.0,0.7569375,400,0,1.0,1.0,0.0,0.0,0.0,0.0788
single:deltamethrin,1003,40,12,400.0,0.7681250000000001,400,0,1.0,1.0,0.0,0.1187,0.1225,0.0737
single:deltamethrin,1004,40,11,400.0,0.7690624999999999,400,0,1.0,1.0,0.0025,0.0,0.0013,0.0
single:deltamethrin,1005,40,13,400.0,0.7535000000000001,400,0,1.0,1.0,0.07,0.0,0.0,0.0413
single:deltamethrin,1006,40,18,400.0,0.6842499999999999,400,0,1.0,1.0,0.0,0.0,0.0013,0.0
single:deltamethrin,1007,40,12,400.0,0.7655625,400,0,1.0,1.0,0.0125,0.1775,0.0,0.0163
single:deltamethrin,1008,40,11,400.0,0.7714375,400,0,1.0,1.0,0.0,0.0,0.0275,0.0762
single:deltamethrin,1009,40,13,400.0,0.749375,400,0,1.0,1.0,0.0,0.1925,0.0,0.0375
single:deltamethrin,1010,40,9,400.0,0.8009999999999998,400,0,1.0,1.0,0.0362,0.0025,0.19,0.0975
single:deltamethrin,1011,40,12,400.0,0.7680625,400,0,1.0,1.0,0.0,0.1537,0.0,0.0362
rotation:delt-imid-fipr,1000,40,40,400.0,0.4233125000000001,400,0,0.6125,0.6125,0.0,0.0,0.0,0.0
rotation:delt-imid-fipr,1001,40,,400.0,0.39825,400,0,0.115,0.0262,0.0,0.0,0.0,0.1087
rotation:delt-imid-fipr,1002,40,,400.0,0.4100625,400,0,0.0988,0.0,0.075,0.0,0.0,0.0
rotation:delt-imid-fipr,1003,40,28,400.0,0.4465,400,0,0.8475,0.8475,0.0,0.0,0.1275,0.13
rotation:delt-imid-fipr,1004,40,,400.0,0.40818750000000004,400,0,0.3987,0.3987,0.0,0.0,0.0,0.0
rotation:delt-imid-fipr,1005,40,,400.0,0.40856250000000005,400,0,0.1837,0.1688,0.0,0.0,0.0,0.03
rotation:delt-imid-fipr,1006,40,,400.0,0.40287500000000004,400,0,0.1975,0.125,0.0,0.0,0.055,0.0
rotation:delt-imid-fipr,1007,40,,400.0,0.42112499999999997,400,0,0.2888,0.2562,0.0312,0.0,0.0725,0.0
rotation:delt-imid-fipr,1008,40,28,400.0,0.44475,400,0,0.8638,0.8638,0.0,0.0,0.0325,0.02
rotation:delt-imid-fipr,1009,40,,400.0,0.4179375,400,0,0.1888,0.1363,0.0,0.0163,0.0,0.0
rotation:delt-imid-fipr,1010,40,,400.0,0.4056875,400,0,0.0813,0.0,0.0,0.0,0.0,0.0
rotation:delt-imid-fipr,1011,40,,400.0,0.4133750000000001,400,0,0.3387,0.3063,0.0,0.0,0.0,0.0
rotation:delt-imid-fipr/3,1000,40,,400.0,0.41693750000000007,400,0,0.4412,0.4412,0.0,0.0,0.0,0.0338
rotation:delt-imid-fipr/3,1001,40,,400.0,0.4103125,400,0,0.4788,0.4788,0.0,0.0,0.0,0.04
rotation:delt-imid-fipr/3,1002,40,38,400.0,0.42793749999999997,400,0,0.6138,0.555,0.035,0.0088,0.0587,0.0
rotation:delt-imid-fipr/3,1003,40,,400.0,0.4113125,400,0,0.295,0.2737,0.0,0.085,0.0075,0.0
rotation:delt-imid-fipr/3,1004,40,31,400.0,0.429,400,0,0.805,0.775,0.135,0.0,0.0,0.0
rotation:delt-imid-fipr/3,1005,40,,400.0,0.41574999999999995,400,0,0.31,0.3038,0.0,0.1313,0.0,0.0975
rotation:delt-imid-fipr/3,1006,40,,400.0,0.40843749999999995,400,0,0.35,0.32,0.0,0.0,0.0912,0.0
rotation:delt-imid-fipr/3,1007,40,,400.0,0.4108124999999999,400,0,0.1462,0.0325,0.0,0.015,0.0,0.0
rotation:delt-imid-fipr/3,1008,40,38,400.0,0.42006250000000006,400,0,0.6075,0.6075,0.0025,0.0437,0.0,0.0
rotation:delt-imid-fipr/3,1009,40,,400.0,0.4181875,400,0,0.1787,0.1638,0.0,0.0125,0.0,0.0275
rotation:delt-imid-fipr/3,1010,40,29,400.0,0.45812500000000006,400,0,0.86,0.8325,0.0,0.0,0.0,0.0
rotation:delt-imid-fipr/3,1011,40,29,400.0,0.4541874999999999,400,0,0.865,0.8375,0.0,0.0,0.0488,0.1037
mixture:delt-imid-fipr,1000,40,11,399.0,0.1939925,400,0,1.0,1.0,1.0,0.4088,0.0,0.0
